,DivLog
1871-01-02,0.00021405911356026176
1871-01-03,0.00021405911356026176
1871-01-04,0.00021405911356026176
1871-01-05,0.00021405911356026176
1871-01-06,0.00021405911356026176
1871-01-09,0.00021405911356026176
1871-01-10,0.00021405911356026176
1871-01-11,0.00021405911356026176
1871-01-12,0.00021405911356026176
1871-01-13,0.00021405911356026176
1871-01-16,0.00021405911356026176
1871-01-17,0.00021405911356026176
1871-01-18,0.00021405911356026176
1871-01-19,0.00021405911356026176
1871-01-20,0.00021405911356026176
1871-01-23,0.00021405911356026176
1871-01-24,0.00021405911356026176
1871-01-25,0.00021405911356026176
1871-01-26,0.00021405911356026176
1871-01-27,0.00021405911356026176
1871-01-30,0.00021405911356026176
1871-01-31,0.00021405911356026176
1871-02-01,0.00024016303332556572
1871-02-02,0.00024016303332556572
1871-02-03,0.00024016303332556572
1871-02-06,0.00024016303332556572
1871-02-07,0.00024016303332556572
1871-02-08,0.00024016303332556572
1871-02-09,0.00024016303332556572
1871-02-10,0.00024016303332556572
1871-02-13,0.00024016303332556572
1871-02-14,0.00024016303332556572
1871-02-15,0.00024016303332556572
1871-02-16,0.00024016303332556572
1871-02-17,0.00024016303332556572
1871-02-20,0.00024016303332556572
1871-02-21,0.00024016303332556572
1871-02-22,0.00024016303332556572
1871-02-23,0.00024016303332556572
1871-02-24,0.00024016303332556572
1871-02-27,0.00024016303332556572
1871-02-28,0.00024016303332556572
1871-03-01,0.00020386597903479086
1871-03-02,0.00020386597903479086
1871-03-03,0.00020386597903479086
1871-03-06,0.00020386597903479086
1871-03-07,0.00020386597903479086
1871-03-08,0.00020386597903479086
1871-03-09,0.00020386597903479086
1871-03-10,0.00020386597903479086
1871-03-13,0.00020386597903479086
1871-03-14,0.00020386597903479086
1871-03-15,0.00020386597903479086
1871-03-16,0.00020386597903479086
1871-03-17,0.00020386597903479086
1871-03-20,0.00020386597903479086
1871-03-21,0.00020386597903479086
1871-03-22,0.00020386597903479086
1871-03-23,0.00020386597903479086
1871-03-24,0.00020386597903479086
1871-03-27,0.00020386597903479086
1871-03-28,0.00020386597903479086
1871-03-29,0.00020386597903479086
1871-03-30,0.00020386597903479086
1871-03-31,0.00020386597903479086
1871-04-03,0.0002280305653820825
1871-04-04,0.0002280305653820825
1871-04-05,0.0002280305653820825
1871-04-06,0.0002280305653820825
1871-04-07,0.0002280305653820825
1871-04-10,0.0002280305653820825
1871-04-11,0.0002280305653820825
1871-04-12,0.0002280305653820825
1871-04-13,0.0002280305653820825
1871-04-14,0.0002280305653820825
1871-04-17,0.0002280305653820825
1871-04-18,0.0002280305653820825
1871-04-19,0.0002280305653820825
1871-04-20,0.0002280305653820825
1871-04-21,0.0002280305653820825
1871-04-24,0.0002280305653820825
1871-04-25,0.0002280305653820825
1871-04-26,0.0002280305653820825
1871-04-27,0.0002280305653820825
1871-04-28,0.0002280305653820825
1871-05-01,0.00019340233474716007
1871-05-02,0.00019340233474716007
1871-05-03,0.00019340233474716007
1871-05-04,0.00019340233474716007
1871-05-05,0.00019340233474716007
1871-05-08,0.00019340233474716007
1871-05-09,0.00019340233474716007
1871-05-10,0.00019340233474716007
1871-05-11,0.00019340233474716007
1871-05-12,0.00019340233474716007
1871-05-15,0.00019340233474716007
1871-05-16,0.00019340233474716007
1871-05-17,0.00019340233474716007
1871-05-18,0.00019340233474716007
1871-05-19,0.00019340233474716007
1871-05-22,0.00019340233474716007
1871-05-23,0.00019340233474716007
1871-05-24,0.00019340233474716007
1871-05-25,0.00019340233474716007
1871-05-26,0.00019340233474716007
1871-05-29,0.00019340233474716007
1871-05-30,0.00019340233474716007
1871-05-31,0.00019340233474716007
1871-06-01,0.0002038675457889219
1871-06-02,0.0002038675457889219
1871-06-05,0.0002038675457889219
1871-06-06,0.0002038675457889219
1871-06-07,0.0002038675457889219
1871-06-08,0.0002038675457889219
1871-06-09,0.0002038675457889219
1871-06-12,0.0002038675457889219
1871-06-13,0.0002038675457889219
1871-06-14,0.0002038675457889219
1871-06-15,0.0002038675457889219
1871-06-16,0.0002038675457889219
1871-06-19,0.0002038675457889219
1871-06-20,0.0002038675457889219
1871-06-21,0.0002038675457889219
1871-06-22,0.0002038675457889219
1871-06-23,0.0002038675457889219
1871-06-26,0.0002038675457889219
1871-06-27,0.0002038675457889219
1871-06-28,0.0002038675457889219
1871-06-29,0.0002038675457889219
1871-06-30,0.0002038675457889219
1871-07-03,0.00021763005679448157
1871-07-04,0.00021763005679448157
1871-07-05,0.00021763005679448157
1871-07-06,0.00021763005679448157
1871-07-07,0.00021763005679448157
1871-07-10,0.00021763005679448157
1871-07-11,0.00021763005679448157
1871-07-12,0.00021763005679448157
1871-07-13,0.00021763005679448157
1871-07-14,0.00021763005679448157
1871-07-17,0.00021763005679448157
1871-07-18,0.00021763005679448157
1871-07-19,0.00021763005679448157
1871-07-20,0.00021763005679448157
1871-07-21,0.00021763005679448157
1871-07-24,0.00021763005679448157
1871-07-25,0.00021763005679448157
1871-07-26,0.00021763005679448157
1871-07-27,0.00021763005679448157
1871-07-28,0.00021763005679448157
1871-07-31,0.00021763005679448157
1871-08-01,0.00019622230538977168
1871-08-02,0.00019622230538977168
1871-08-03,0.00019622230538977168
1871-08-04,0.00019622230538977168
1871-08-07,0.00019622230538977168
1871-08-08,0.00019622230538977168
1871-08-09,0.00019622230538977168
1871-08-10,0.00019622230538977168
1871-08-11,0.00019622230538977168
1871-08-14,0.00019622230538977168
1871-08-15,0.00019622230538977168
1871-08-16,0.00019622230538977168
1871-08-17,0.00019622230538977168
