Model,State,N_days,q_hat_annual,se_annual
4-State,1,5868,0.030646022438236192,0.0010355544039106063
4-State,2,12368,0.033590132164490194,9.948781659107763e-4
4-State,3,5215,0.030612273217927845,0.001394410024225803
4-State,4,1085,0.049812993149440765,0.004319817088169691
5-State,1,8936,0.03111508590963058,0.0010140115216802133
5-State,2,6076,0.03403763669161098,0.001205382069916265
5-State,3,678,0.03495501133285508,0.0019583970382666812
5-State,4,7763,0.03175174109160647,0.0011795584839869172
5-State,5,1083,0.04978611696409269,0.004338370437739731
